unique_number,id_no,rev_bis,name_en,name_fr,short_description_en,short_description_fr,justification_en,justification_fr,date_inscribed,secondary_dates,danger_list,longitude,latitude,area_hectares,C1,C2,C3,C4,C5,C6,N7,N8,N9,N10,criteria_txt,category,category_short,states_name_en,states_name_fr,region_en,region_fr,iso_code,udnp_code,transboundary
1725,1272,Rev,São Francisco Square in the Town of São Cristóvão,Place São Francisco dans la ville de São Cristóvão,"<p>S&atilde;o Francisco Square, in the town of S&atilde;o Cristov&atilde;o, is a quadrilateral open space surrounded by substantial early buildings such as S&atilde;o Francisco Church and convent, the Church and Santa Casa da Miseric&oacute;rdia, the Provincial Palace and the associated houses of different historical periods surrounding the Square. This monumental ensemble, together with the surrounding 18th- and 19th- century houses, creates an urban landscape which reflects the history of the town since its origin. The Franciscan complex is an example of the typical architecture of the religious order developed in north-eastern Brazil.</p>","<p>La place S&atilde;o Francisco, dans la ville de S&atilde;o Cristov&atilde;o, forme un quadrilat&egrave;re &agrave; ciel ouvert, entour&eacute; d'&eacute;difices imposants anciens tels que l'&eacute;glise de S&atilde;o Francisco et son couvent, l'Eglise de Santa Casa da Miseric&oacute;rdia, le palais provincial et les demeures associ&eacute;es de diff&eacute;rentes &eacute;poques autour de la place. Cet ensemble monumental, avec les maisons du 18e si&egrave;cle et du 19e si&egrave;cle avoisinantes, cr&eacute;e un paysage urbain qui refl&egrave;te l'histoire de la ville depuis son origine. L'ensemble franciscain est un exemple de l'architecture typique de cet ordre religieux qui s'est d&eacute;velopp&eacute;e dans le nord-est du Br&eacute;sil.</p>",,,2010,,,-37.21,-11.0161111111,3,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Brazil,Brésil,Latin America and the Caribbean,Amérique latine et Caraïbes,br,bra,0
2077,1493,,Pampulha Modern Ensemble,Ensemble moderne de Pampulha,"<p>The Pampulha Modern Ensemble was the centre of a visionary garden city project created in 1940 at Belo Horizonte, the capital of Minas Gerais State. Designed around an artificial lake, this cultural and leisure centre included a casino, a ballroom, the Golf Yacht Club and the São Francisco de Assis church. The buildings were designed by architect Oscar Niemeyer, in collaboration with innovative artists. The Ensemble comprises bold forms that exploit the plastic potential of concrete, while fusing architecture, landscape design, sculpture and painting into a harmonious whole. It reflects the influence of local traditions, the Brazilian climate and natural surroundings on the principles of modern architecture.</p>","<p>L’Ensemble moderne de Pampulha a été le centre d’un projet visionnaire de cité-jardin créé en 1940 à Belo Horizonte, capitale de l’état du Minas Gerais. Conçu autour d’un lac artificiel, ce centre culturel et de loisirs se composait d’un casino, d’une salle de bal, d’un Golf &amp; Yacht Club et de l’église São Francisco de Assis. Les bâtiments ont été conçus par l’architecte Oscar Niemeyer, en collaboration avec des artistes novateurs. L’Ensemble présente des formes audacieuses qui exploitent les propriétés plastiques du béton et tout en fusionnant l’architecture, le paysagisme, la sculpture et la peinture – pour créer un tout harmonieux. Il témoigne de l’influence des traditions locales, du climat et de l’environnement naturel brésiliens sur les principes de l’architecture moderne. </p>",,,2016,,,-43.9736111111,-19.8519444444,154,1,1,0,1,0,0,0,0,0,0,(i)(ii)(iv),Cultural,C,Brazil,Brésil,Latin America and the Caribbean,Amérique latine et Caraïbes,br,bra,0
2173,1548,,Valongo Wharf Archaeological Site,Site archéologique du quai de Valongo,"<p>Valongo Wharf Archaeological Site is located in central Rio de Janeiro and encompasses the entirety of Jornal do Comércio Square. It is in the former harbour area of Rio de Janeiro in which the old stone wharf was built for the landing of enslaved Africans reaching the South American continent from 1811 onwards. An estimated 900,000 Africans arrived in South America via Valongo. The physical site is composed of several archaeological layers, the lowest of which consists of floor pavings in<span> </span><em>pé de moleque</em><span> </span>style, attributed to the original Valongo Wharf. It is the most important physical trace of the arrival of African slaves on the American continent.</p>","<p>Ce site archéologique est situé au centre de Rio de Janeiro. Il englobe l’intégralité de la place du Jornal do Comércio. Il s’agit de l’ancienne zone portuaire de Rio, où fut construit un quai de pierre à partir de 1811, conçu pour le débarquement des esclaves africains atteignant le continent sud-américain. On estime à 900 000 le nombre d’Africains arrivés aux Amériques par Valongo. Le site est composé de plusieurs couches archéologiques dont la plus profonde est constituée d’un sol pavé de style<span> </span><em>pé de moleque,<span> </span></em>attribué au quai de Valongo d’origine. Il s’agit de la trace physique la plus importante associée à l’arrivée d’esclaves africains sur le continent américain.</p>",,,2017,,,-43.1873944444,-22.8971111111,0.3895,0,0,0,0,0,1,0,0,0,0,(vi),Cultural,C,Brazil,Brésil,Latin America and the Caribbean,Amérique latine et Caraïbes,br,bra,0
46,42,,Boyana Church,Église de Boyana,"<p>Located on the outskirts of Sofia, Boyana Church consists of three buildings. The eastern church was built in the 10th century, then enlarged at the beginning of the 13th century by Sebastocrator Kaloyan, who ordered a second two storey building to be erected next to it. The frescoes in this second church, painted in 1259, make it one of the most important collections of medieval paintings. The ensemble is completed by a third church, built at the beginning of the 19th century. This site is one of the most complete and perfectly preserved monuments of east European medieval art.</p>","<p>Situ&eacute;e &agrave; la p&eacute;riph&eacute;rie de Sofia, l&rsquo;&eacute;glise de Boyana se compose de trois b&acirc;timents. L&rsquo;&eacute;glise de l&rsquo;Est a &eacute;t&eacute; construite au Xe si&egrave;cle. Au milieu du XIIIe si&egrave;cle, Sebastocrator Kaloyan a agrandi l&rsquo;&eacute;glise et a demand&eacute; que l&rsquo;on construise un second b&acirc;timent de deux &eacute;tages &agrave; c&ocirc;t&eacute; de l&rsquo;ancien. Ses fresques, peintes en 1259, constituent l&rsquo;une des plus importantes collections de peintures m&eacute;di&eacute;vales. L&rsquo;ensemble est compl&eacute;t&eacute; par une troisi&egrave;me &eacute;glise, &eacute;difi&eacute;e au d&eacute;but du XIXe si&egrave;cle. Ce site comprend les monuments les plus parfaits et les mieux conserv&eacute;s de l&rsquo;art m&eacute;di&eacute;val d&rsquo;Europe de l&rsquo;Est.</p>",,,1979,,,23.26666667,42.65,0.68,0,1,1,0,0,0,0,0,0,0,(ii)(iii),Cultural,C,Bulgaria,Bulgarie,Europe and North America,Europe et Amérique du nord,bg,bgr,0
47,43,,Madara Rider,Cavalier de Madara,"<p>The Madara Rider, representing the figure of a knight triumphing over a lion, is carved into a 100-m-high cliff near the village of Madara in north-east Bulgaria. Madara was the principal sacred place of the First Bulgarian Empire before Bulgaria&rsquo;s conversion to Christianity in the 9th century. The inscriptions beside the sculpture tell of events that occurred between AD 705 and 801.</p>","<p>Le Cavalier de Madara, repr&eacute;sentant un cavalier vainqueur d&rsquo;un lion, est sculpt&eacute; sur une falaise de 100 m de haut, pr&egrave;s du village de Madara, dans le nord-est de la Bulgarie. Madara a &eacute;t&eacute; le premier lieu sacr&eacute; du premier Empire bulgare, avant la conversion de la Bulgarie au IXe si&egrave;cle. Les inscriptions qui figurent &agrave; c&ocirc;t&eacute; de cette sculpture relatent des &eacute;v&eacute;nements survenus entre 705 et 831.</p>",,,1979,,,27.15,43.3,1.2,1,0,1,0,0,0,0,0,0,0,(i)(iii),Cultural,C,Bulgaria,Bulgarie,Europe and North America,Europe et Amérique du nord,bg,bgr,0
48,44,,Thracian Tomb of Kazanlak,Tombe thrace de Kazanlak,"<p>Discovered in 1944, this tomb dates from the Hellenistic period, around the end of the 4th century BC. It is located near Seutopolis, the capital city of the Thracian king Seutes III, and is part of a large Thracian necropolis. The tholos has a narrow corridor and a round burial chamber, both decorated with murals representing Thracian burial rituals and culture. These paintings are Bulgaria&rsquo;s best-preserved artistic masterpieces from the Hellenistic period.</p>","<p>D&eacute;couvert en 1944, ce tombeau date de la p&eacute;riode hell&eacute;nistique, vers la fin du IVe si&egrave;cle av. J.-C. Il est situ&eacute; pr&egrave;s de Seutopolis &ndash; capitale du roi thrace Seutes III &ndash; et fait partie d&rsquo;une grande n&eacute;cropole thrace. Le tholos comprend un &eacute;troit corridor et une chambre fun&eacute;raire ronde, tous deux d&eacute;cor&eacute;s de peintures murales repr&eacute;sentant les rites fun&eacute;raires et la culture thrace. Ces peintures sont les chefs-d&rsquo;&oelig;uvre artistiques les mieux pr&eacute;serv&eacute;s de la p&eacute;riode hell&eacute;nistique en Bulgarie.</p>",,,1979,,,25.4,42.61666667,0.0155,1,0,1,1,0,0,0,0,0,0,(i)(iii)(iv),Cultural,C,Bulgaria,Bulgarie,Europe and North America,Europe et Amérique du nord,bg,bgr,0
49,45,,Rock-Hewn Churches of Ivanovo,Églises rupestres d'Ivanovo,"<p>In the valley of the Roussenski Lom River, in north east Bulgaria, a complex of rock-hewn churches, chapels, monasteries and cells developed in the vicinity of the village of Ivanovo. This is where the first hermits had dug out their cells and churches during the 12th century. The 14th-century murals testify to the exceptional skill of the artists belonging to the Tarnovo School of painting.</p>","<p>Dans la vall&eacute;e de la Roussenki Lom, au nord-est de la Bulgarie, un ensemble d&rsquo;&eacute;glises, de chapelles, de monast&egrave;res et de cellules creus&eacute;s dans le roc s&rsquo;est d&eacute;velopp&eacute; &agrave; proximit&eacute; du village d&rsquo;Ivanovo. C&rsquo;est l&agrave; que les premiers ermites ont creus&eacute; leurs cellules et leurs &eacute;glises au XIIe si&egrave;cle. Les peintures murales qui datent du XIVe si&egrave;cle t&eacute;moignent d&rsquo;une technique artistique exceptionnelle caract&eacute;ristique de l&rsquo;&eacute;cole de peinture de Tarnovo.</p>",,,1979,,,25.96666667,43.71666667,171.9,0,1,1,0,0,0,0,0,0,0,(ii)(iii),Cultural,C,Bulgaria,Bulgarie,Europe and North America,Europe et Amérique du nord,bg,bgr,0
239,216,,Rila Monastery,Monastère de Rila,"<p>Rila Monastery was founded in the 10th century by St John of Rila, a hermit canonized by the Orthodox Church. His ascetic dwelling and tomb became a holy site and were transformed into a monastic complex which played an important role in the spiritual and social life of medieval Bulgaria. Destroyed by fire at the beginning of the 19th century, the complex was rebuilt between 1834 and 1862. A characteristic example of the Bulgarian Renaissance (18th&ndash;19th centuries), the monument symbolizes the awareness of a Slavic cultural identity following centuries of occupation.</p>","<p>Saint Jean de Rila, ermite canonis&eacute; par l&rsquo;&Eacute;glise orthodoxe, a fond&eacute; le monast&egrave;re de Rila au Xe si&egrave;cle. Sa demeure d&rsquo;asc&egrave;te et sa tombe sont devenues lieux sacr&eacute;s et ont &eacute;t&eacute; transform&eacute;es en un ensemble monastique qui a tenu un r&ocirc;le important dans la vie spirituelle et sociale de la Bulgarie m&eacute;di&eacute;vale. Ravag&eacute; par un incendie au d&eacute;but du XIXe si&egrave;cle, l&rsquo;ensemble a &eacute;t&eacute; reb&acirc;ti entre 1834 et 1862. Ce monument caract&eacute;ristique de la Renaissance bulgare (XVIIIe-XIXe si&egrave;cles), symbolise la prise de conscience d&rsquo;une identit&eacute; culturelle slave apr&egrave;s des si&egrave;cles d&rsquo;occupation.</p>",,,1983,,,23.4,42.11666667,10.7,0,0,0,0,0,1,0,0,0,0,(vi),Cultural,C,Bulgaria,Bulgarie,Europe and North America,Europe et Amérique du nord,bg,bgr,0
240,217,,Ancient City of Nessebar,Ancienne cité de Nessebar,"<p>Situated on a rocky peninsula on the Black Sea, the more than 3,000-year-old site of Nessebar was originally a Thracian settlement (Menebria). At the beginning of the 6th century BC, the city became a Greek colony. The city&rsquo;s remains, which date mostly from the Hellenistic period, include the acropolis, a temple of Apollo, an agora and a wall from the Thracian fortifications. Among other monuments, the Stara Mitropolia Basilica and the fortress date from the Middle Ages, when this was one of the most important Byzantine towns on the west coast of the Black Sea. Wooden houses built in the 19th century are typical of the Black Sea architecture of the period.</p>","<p>Édifié sur une p&eacute;ninsule rocheuse de la mer Noire, le site de Nessebar, plus de trois fois mill&eacute;naire, &eacute;tait &agrave; l&rsquo;origine un site de peuplement des Thraces (Menobria). Au d&eacute;but du VIe si&egrave;cle, la ville est devenue un comptoir grec. Les vestiges de la ville datent essentiellement de la p&eacute;riode hell&eacute;nistique et comprennent l&rsquo;acropole, un temple d&rsquo;Apollon, une agora et un mur de fortification thrace. Parmi d&rsquo;autres monuments, la basilique de Stara Mitropolia et la forteresse rappellent le Moyen &Acirc;ge, &eacute;poque o&ugrave; la cit&eacute; &eacute;tait l&rsquo;une des plus importantes villes byzantines de la c&ocirc;te ouest de la mer Noire. Les maisons en bois construites au XIXe si&egrave;cle repr&eacute;sentent l&rsquo;architecture de la mer Noire &agrave; cette &eacute;poque.</p>",,,1983,,,27.73,42.65611,27.1,0,0,1,1,0,0,0,0,0,0,(iii)(iv),Cultural,C,Bulgaria,Bulgarie,Europe and North America,Europe et Amérique du nord,bg,bgr,0
1621,219,Bis,Srebarna Nature Reserve,Réserve naturelle de Srébarna,"<p>The Srebarna Nature Reserve is a freshwater lake adjacent to the Danube and extending over 600 ha. It is the breeding ground of almost 100 species of birds, many of which are rare or endangered. Some 80 other bird species migrate and seek refuge there every winter. Among the most interesting bird species are the Dalmatian pelican, great egret, night heron, purple heron, glossy ibis and white spoonbill.</p>","<p>La r&eacute;serve naturelle de Sr&eacute;barna est un lac d&rsquo;eau douce adjacent au Danube qui s&rsquo;&eacute;tend sur plus de 600 ha. Il abrite pr&egrave;s de 100 esp&egrave;ces d&rsquo;oiseaux qui viennent s&rsquo;y reproduire et dont beaucoup sont rares ou menac&eacute;es. Quelque 80 autres esp&egrave;ces d&rsquo;oiseaux s&rsquo;y r&eacute;fugient au cours de leur migration chaque hiver. Parmi les esp&egrave;ces d&rsquo;oiseaux les plus int&eacute;ressantes, on note le p&eacute;lican dalmate, le bihoreau gris, l&rsquo;ibis falcinelle et la spatule blanche.</p>",,,1983,,P 1992-2003,27.07806,44.11444,638,0,0,0,0,0,0,0,0,0,1,(x),Natural,N,Bulgaria,Bulgarie,Europe and North America,Europe et Amérique du nord,bg,bgr,0
1641,225,Bis,Pirin National Park,Parc national de Pirin,"<p>Spread over an area of over 27,000 ha, at an altitude between 1008 and 2914 m in the Pirin Mountains, southwest Bulgaria, the site comprises diverse limestone mountain landscapes with glacial lakes, waterfalls, caves and predominantly coniferous forests. It was added to the World Heritage List in 1983. The extension now covers an area of around 40,000 ha in the Pirin Mountains, and overlaps with the Pirin National Park, except for two areas developed for tourism (skiing). The dominant part of the extension is high mountain territory over 2000m in altitude, and covered mostly by alpine meadows, rocky screes and summits.</p>","<p>Sur une étendue de plus de 27 000 ha, à une altitude de 1 008 à 2 914 m dans le massif du Pirin, dans le sud-ouest de la Bulgarie, le parc présente un paysage karstique des Balkans, avec ses lacs, ses cascades, ses grottes et ses forêts de pins. Il a été ajouté à la Liste du patrimoine mondial en 1983. L'extension inclut désormais l'ensemble du Parc national de Pirin, soient près de 40 000 ha, à l'exception de deux zones touristiques (ski). La partie principale de cette extension est une zone de hautes montagnes de plus de 2000 mètres d'altitude comprenant surtout des prairies alpines, des éboulis rocheux et des sommets.</p>",,,1983,2010,,23.4304722222,41.7427222222,38350.04,0,0,0,0,0,0,1,1,1,0,(vii)(viii)(ix),Natural,N,Bulgaria,Bulgarie,Europe and North America,Europe et Amérique du nord,bg,bgr,0
412,359,,Thracian Tomb of Sveshtari,Tombeau thrace de Svechtari,"<p>Discovered in 1982 near the village of Sveshtari, this 3rd-century BC Thracian tomb reflects the fundamental structural principles of Thracian cult buildings. The tomb has a unique architectural decor, with polychrome half-human, half-plant caryatids and painted murals. The 10 female figures carved in high relief on the walls of the central chamber and the decoration of the lunette in its vault are the only examples of this type found so far in the Thracian lands. It is a remarkable reminder of the culture of the Getes, a Thracian people who were in contact with the Hellenistic and Hyperborean worlds, according to ancient geographers.</p>","<p>D&eacute;couvert en 1982, pr&egrave;s du village de Svechtari, ce tombeau thrace du IIIe si&egrave;cle av. J.-C. illustre les principes fondamentaux de construction des b&acirc;timents religieux thraces. Le tombeau pr&eacute;sente un d&eacute;cor architectural unique avec ses cariatides polychromes mi-humaines mi-v&eacute;g&eacute;tales et ses peintures murales. Les dix silhouettes f&eacute;minines r&eacute;alis&eacute;es en haut-relief sur les murs de la chambre centrale et le dessin graphique de la lunette de sa vo&ucirc;te sont les seules d&eacute;corations de ce type d&eacute;couvertes jusqu&rsquo;ici sur le territoire thrace. C&rsquo;est un t&eacute;moignage remarquable sur la culture des G&egrave;tes, population thrace qui fut au contact des mondes hell&eacute;nistique et hyperbor&eacute;en, selon les termes de la g&eacute;ographie antique.</p>",,,1985,,,26.66667,43.66667,647.6,1,0,1,0,0,0,0,0,0,0,(i)(iii),Cultural,C,Bulgaria,Bulgarie,Europe and North America,Europe et Amérique du nord,bg,bgr,0
1696,1225,Rev,Ruins of Loropéni,Ruines de Loropéni,"<p>The 11,130m2 property, the first to be inscribed in the country, with its imposing stone walls is the best preserved of ten fortresses in the Lobi area and is part of a larger group of 100 stone enclosures that bear testimony to the power of the trans-Saharan gold trade. Situated near the borders of C&ocirc;te d&rsquo;Ivoire, Ghana and Togo, the ruins have recently been shown to be at least 1,000 years old. The settlement was occupied by the Lohron or Koulango peoples, who controlled the extraction and transformation of gold in the region when it reached its apogee from the 14th to the 17th century. Much mystery surrounds this site large parts of which have yet to be excavated. The settlement seems to have been abandoned during some periods during its long history. The property which was finally deserted in the early 19th century is expected to yield much more information.</p>","<p>Ce premier site burkinab&eacute; est bard&eacute; de hauts murs et s&rsquo;&eacute;tend sur 11 130 m2. C&rsquo;est la mieux pr&eacute;serv&eacute;e des dix forteresses que compte la r&eacute;gion du Lobi. Il s&rsquo;inscrit aussi dans un ensemble plus large qui compte une centaine d&rsquo;enceintes en pierre, refl&eacute;tant la puissance du commerce transsaharien de l&rsquo;or. Vieilles d&rsquo;au moins mille ans selon des d&eacute;couvertes r&eacute;centes, ces ruines sont situ&eacute;es pr&egrave;s des fronti&egrave;res du Togo et du Ghana. L&rsquo;emplacement a &eacute;t&eacute; occup&eacute; par les Lohron ou les Koulango qui contr&ocirc;laient l&rsquo;extraction et la transformation de l&rsquo;or dans la r&eacute;gion &agrave; l&rsquo;apog&eacute;e de cette exploitation aurif&egrave;re (XIV&egrave;me au XVII&egrave;me si&egrave;cle). Beaucoup de myst&egrave;re entoure ce site dont une large part n&rsquo;a pas encore &eacute;t&eacute; fouill&eacute;e. Au cours de sa longue histoire, Lorop&eacute;ni semble avoir &eacute;t&eacute; abandonn&eacute; &agrave; plusieurs reprises. L&rsquo;abandon d&eacute;finitif est intervenu entre le d&eacute;but et le milieu du XIX&egrave;me si&egrave;cle. Ce site promet encore beaucoup d&rsquo;informations.</p>",,,2009,,,-3.5833333333,10.25,1.113,0,0,1,0,0,0,0,0,0,0,(iii),Cultural,C,Burkina Faso,Burkina Faso,Africa,Afrique,bf,bfa,0
1600,1310,,"Cidade Velha, Historic Centre of Ribeira Grande","Cidade Velha, centre historique de Ribeira Grande","<p>The town of Ribeira Grande, renamed Cidade Velha in the late 18th century, was the first European colonial outpost in the tropics. Located in the south of the island of Santiago, the town features some of the original street layout impressive remains including two churches, a royal fortress and Pillory Square with its ornate 16th century marble pillar.</p>","<p>La ville de Ribeira Grande, rebaptis&eacute;e Cidade Velha &agrave; la fin du XVIII&egrave;me si&egrave;cle, a &eacute;t&eacute; la premi&egrave;re ville coloniale construite par les Europ&eacute;ens sous les tropiques. Situ&eacute;e au sud de l'&icirc;le de Santiago, elle conserve une partie de son trac&eacute; viaire et d'importants vestiges, dont deux &eacute;glises, une forteresse royale et la place du Pilori avec sa colonne de marbre de style manu&eacute;lin.</p>",,,2009,,,-23.6051944444,14.9151388889,209.1,0,1,1,0,0,1,0,0,0,0,(ii)(iii)(vi),Cultural,C,Cabo Verde,Cabo Verde,Africa,Afrique,cv,cpv,0
791,668,,Angkor,Angkor,"<p>Angkor is one of the most important archaeological sites in South-East Asia. Stretching over some 400 km2, including forested area, Angkor Archaeological Park contains the magnificent remains of the different capitals of the Khmer Empire, from the 9th to the 15th century. They include the famous Temple of Angkor Wat and, at Angkor Thom, the Bayon Temple with its countless sculptural decorations. UNESCO has set up a wide-ranging programme to safeguard this symbolic site and its surroundings.</p>","<p>Angkor est l’un des principaux sites archéologiques de l’Asie du Sud-Est. S’étendant sur quelque 400 km2 couverts en partie par la forêt, le parc archéologique d’Angkor recèle les admirables vestiges des différentes capitales de l’Empire khmer qui rayonna entre le IXe et le XVe siècle : le célèbre temple d’Angkor Vat et, à Angkor Thom, le temple du Bayon orné d’innombrables sculptures. L’UNESCO a mis en œuvre un vaste programme de sauvegarde de ce site symbole et de son environnement.</p>",,,1992,,P 1992-2004,103.8333333,13.43333333,40100,1,1,1,1,0,0,0,0,0,0,(i)(ii)(iii)(iv),Cultural,C,Cambodia,Cambodge,Asia and the Pacific,Asie et pacifique,kh,khm,0
1591,1224,Rev,Temple of Preah Vihear,Temple de Preah Vihear,"<p>Situated on the edge of a plateau that dominates the plain of Cambodia, the Temple of Preah Vihear is dedicated to Shiva. The Temple is composed of a series of sanctuaries linked by a system of pavements and staircases over an 800 metre long axis and dates back to the first half of the 11th century AD. Nevertheless, its complex history can be traced to the 9th century, when the hermitage was founded. This site is particularly well preserved, mainly due to its remote location. The site is exceptional for the quality of its architecture, which is adapted to the natural environment and the religious function of the temple, as well as for the exceptional quality of its carved stone ornamentation.</p>","<p>Le temple de Preah Vihear, d&eacute;di&eacute; &agrave; Shiva, se trouve au bord d&rsquo;un plateau qui domine la plaine du Cambodge. Compos&eacute; d'une s&eacute;rie de sanctuaires reli&eacute;s par un syst&egrave;me de chauss&eacute;es et d'escaliers s'&eacute;tendant sur un axe de 800 m, le temple date de la premi&egrave;re moiti&eacute; du XIe si&egrave;cle. Son histoire complexe remonte cependant au IXe si&egrave;cle, &eacute;poque &agrave; laquelle un ermitage a &eacute;t&eacute; fond&eacute;. Ce site est particuli&egrave;rement bien pr&eacute;serv&eacute;, essentiellement en raison de sa situation recul&eacute;e. L'ensemble est exceptionnel pour son architecture, adapt&eacute;e &agrave; la fois aux contraintes naturelles du site et aux fonctions religieuses du temple, ainsi que pour la qualit&eacute; des ornementations de pierre sculpt&eacute;e.</p>",,,2008,,,104.6838888889,14.3883333333,154.7,1,0,0,0,0,0,0,0,0,0,(i),Cultural,C,Cambodia,Cambodge,Asia and the Pacific,Asie et pacifique,kh,khm,0
2140,1532,,"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura","Zone des temples de Sambor Prei Kuk, site archéologique de l’ancienne Ishanapura","<p>The archaeological site of Sambor Prei Kuk, “the temple in the richness of the forest” in the Khmer language, has been identified as Ishanapura, the capital of the Chenla Empire that flourished in the late 6th and early 7th centuries CE. The vestiges of the city cover an area of 25 square kilometres and include a walled city centre as well as numerous temples, ten of which are octagonal, unique specimens of their genre in southeast Asia. Decorated sandstone elements in the site are characteristic of the pre-Angkor decorative idiom, known as the Sambor Prei Kuk Style. Some of these elements, including lintels, pediments and colonnades, are true masterpieces. The art and architecture developed here became models for other parts of the region and lay the ground for the unique Khmer style of the Angkor period.</p>","<p>Le site archéologique de Sambor Prei Kuk, « le temple dans la forêt luxuriante » en langue khmère, est identifié comme étant Ishanapura, la capitale de l'empire Chenla qui prospéra de la fin du VIe siècle au début du VIIe siècle de notre ère. Les vestiges de cette cité s'étendent sur 25 km2 et renfermaient un centre-ville fortifié ainsi que de nombreux temples, dont dix temples octogonaux qui constituent des spécimens uniques en leur genre en Asie du Sud-Est. Leur décoration architecturale en grès est caractéristique du style préangkorien, le style dit de Sambor Prei Kuk, et  certains des éléments (linteaux, frontons, colonnades...) sont de véritables chefs-d'oeuvre. L'art et l'architecture développés sur ce site devinrent un modèle qui s'est diffusé dans d'autres parties de la région et a posé les fondations du style khmer unique de la période angkorienne.</p>",,,2017,,,105.0361111111,12.8725,,0,1,1,0,0,1,0,0,0,0,(ii)(iii)(vi),Cultural,C,Cambodia,Cambodge,Asia and the Pacific,Asie et pacifique,kh,khm,0
470,407,,Dja Faunal Reserve,Réserve de faune du Dja,"<p>This is one of the largest and best-protected rainforests in Africa, with 90% of its area left undisturbed. Almost completely surrounded by the Dja River, which forms a natural boundary, the reserve is especially noted for its biodiversity and a wide variety of primates. It contains 107 mammal species, five of which are threatened.</p>","<p>C&rsquo;est l&rsquo;une des for&ecirc;ts humides d&rsquo;Afrique les plus vastes et les mieux prot&eacute;g&eacute;es, 90 % de sa superficie restant inviol&eacute;e. Pratiquement encercl&eacute;e par le fleuve Dja, qui en forme la limite naturelle, la r&eacute;serve est surtout remarquable pour sa biodiversit&eacute; et pour la tr&egrave;s grande vari&eacute;t&eacute; des primates qui y vivent. Elle abrite 107 esp&egrave;ces de mammif&egrave;res, dont cinq sont menac&eacute;es.</p>",,,1987,,,13,3,526000,0,0,0,0,0,0,0,0,1,1,(ix)(x),Natural,N,Cameroon,Cameroun,Africa,Afrique,cm,cmr,0
2248,4,,L’Anse aux Meadows National Historic Site,Lieu historique national de L’Anse aux Meadows,"<p>At the tip of the Great Northern Peninsula of the island of Newfoundland, the remains of an 11th-century Viking settlement are evidence of the first European presence in North America. The excavated remains of wood-framed peat-turf buildings are similar to those found in Norse Greenland and Iceland.</p>","<p>À la pointe de la péninsule Great Northern de l'île de Terre-Neuve, les vestiges d'un établissement viking du XIe siècle confirment la première présence européenne en Amérique du Nord. Les vestiges mis au jour d'édifices en mottes de tourbe entre des charpentes de bois sont similaires à ceux trouvés au Groenland et en Islande.</p>",,,1978,,,-55.61666667,51.46666667,7991,0,0,0,0,0,1,0,0,0,0,(vi),Cultural,C,Canada,Canada,Europe and North America,Europe et Amérique du nord,ca,can,0
27,24,,Nahanni National Park,Parc national Nahanni,"<p>Located along the South Nahanni River, one of the most spectacular wild rivers in North America, this park contains deep canyons and huge waterfalls, as well as a unique limestone cave system. The park is also home to animals of the boreal forest, such as wolves, grizzly bears and caribou. Dall's sheep and mountain goats are found in the park's alpine environment.</p>","<p>Situ&eacute; le long de la Nahanni Sud, l'un des cours d'eau les plus spectaculaires d'Am&eacute;rique du Nord, ce parc comporte de profonds canyons, de grandes cascades, ainsi qu'un ensemble unique de grottes karstiques. Le parc abrite, de plus, maintes esp&egrave;ces animales caract&eacute;ristiques des for&ecirc;ts bor&eacute;ales comme le loup, le grizzli et le caribou. On trouve &eacute;galement le mouflon de Dall et la ch&egrave;vre de montagne dans l'environnement alpin du parc.</p>",,,1978,,,-125.5894444,61.54722222,476560,0,0,0,0,0,0,1,1,0,0,(vii)(viii),Natural,N,Canada,Canada,Europe and North America,Europe et Amérique du nord,ca,can,0
75,71,,Dinosaur Provincial Park,Parc provincial Dinosaur,"<p>In addition to its particularly beautiful scenery, Dinosaur Provincial Park – located at the heart of the province of Alberta's badlands – contains some of the most important fossil discoveries ever made from the 'Age of Reptiles', in particular about 35 species of dinosaur, dating back some 75 million years.</p>","<p>Outre ses paysages d'une grande beauté, le parc, situé au cœur des bad-lands de la province de l'Alberta, contient les vestiges les plus importants qu'on ait jamais trouvés de l'« âge des reptiles ». Il s'agit en particulier d'environ 35 espèces de dinosaures remontant à quelque 75 millions d'années.</p>",,,1979,,,-111.4922222,50.76777778,7493,0,0,0,0,0,0,1,1,0,0,(vii)(viii),Natural,N,Canada,Canada,Europe and North America,Europe et Amérique du nord,ca,can,0
